,PLAYER_NAME,TEAM_ABBREVIATION,NPTwAO/G,PGen/G,IOEwAO,Eff_Factor,Pos_Weight,Score
284,Kelan Martin,MIN,8.15,8.575268817204302,1.0564033275049014,0.9715592297526789,0.6002670843959148,4.842280998490859
285,Keldon Johnson,SAS,8.67,11.926470588235292,1.3852828641705384,1.2740250976697804,0.6229826246269393,14.654775356201492
286,Kelly Olynyk,MIA,10.6,13.094723234222586,1.2551451454834242,1.1543392746157664,0.6965713591773086,13.56668600941989
287,Kelly Oubre Jr.,PHX,20.59,23.143633540372672,1.1306911975335614,1.0398807352854955,0.9013903716805437,23.646071149825428
288,Kemba Walker,BOS,28.47,34.02428324270885,1.2109209278743267,1.113666885881256,0.9593666965243668,48.74020002446022
289,Kendrick Nunn,MIA,22.4,24.50078237843043,1.1144279832687296,1.0249236866724796,0.9195588930395628,24.399615776082864
290,Kenrich Williams,NOP,6.78,8.462759462759463,1.2770763776799994,1.1745091193196424,0.5336503488259985,6.555836237358665
291,Kent Bazemore,SAC,13.07,12.519230769230768,0.9699522517406028,0.8920513955817735,0.7701915569507604,7.339972341011335
292,Kentavious Caldwell-Pope,LAL,11.29,13.776167471819644,1.2298876352804518,1.1311102989779964,0.7192360225080434,13.974983739736885
293,Kevin Hervey,OKC,3.1,2.8,0.9032258064516128,0.8306840256566682,0.2944529529704253,0.6925688395861614
294,Kevin Huerter,ATL,19.82,22.702274183215884,1.1555840552829495,1.0627743452085732,0.8924665661502431,24.648340584869146
295,Kevin Knox II,NYK,8.71,8.887782805429865,1.0326502973561795,0.9497139031858925,0.6246755453542567,4.974355495960876
296,Kevin Love,CLE,21.56,25.598262032085557,1.1962203960385789,1.100147014241863,0.9115856798333122,32.2876212101641
297,Kevin Porter Jr.,CLE,14.99,15.732881355932205,1.0624008262608855,0.9770750447071519,0.8148388743736981,12.034920665223018
298,Kevon Looney,GSW,5.26,6.316666666666667,1.2473670352817272,1.1471858564470252,0.446671819038138,3.7008119584287047
299,Khem Birch,ORL,4.8,7.248820754716982,1.5298249922019658,1.406958452687422,0.4172804621950882,6.7731155643542635
300,Khris Middleton,MIL,27.53,33.16241560390098,1.2305310779001846,1.1317020640735251,0.9548338612758974,50.21647312244548
301,Khyri Thomas,DET,4.22,3.125,0.7405213270142179,0.6810470124025875,0.37798639996577643,0.8212819970501509
302,Kostas Antetokounmpo,LAL,0.98,2.8,2.8688524590163933,2.638443114278352,0.10439880542986102,1.5794160904813286
303,Kris Dunn,CHI,15.43,17.027596223674653,1.1266897703661418,1.0362006791975695,0.8237819976214615,15.54297782277769
304,Kristaps Porzingis,DAL,21.52,25.436444885799407,1.1859743468332349,1.0907238674050732,0.9111868823839344,31.086534670321797
305,Ky Bowman,GSW,15.62,16.246881720430107,1.076681310996929,0.9902086049576814,0.8275090229875107,13.082406187025837
306,Kyle Anderson,MEM,10.29,12.512266254932234,1.237704244788962,1.1382991244158172,0.6858015965818034,12.170125985774963
307,Kyle Guy,SAC,2.67,2.0,0.75,0.6897644141613406,0.2594798316781515,0.41854618345917677
308,Kyle Korver,MIL,8.22,9.727816091954024,1.2003517431140611,1.103946555835486,0.6034029037313424,7.4357287764916
309,Kyle Kuzma,LAL,15.56,16.494685642226624,1.0724534472136262,0.9863202983101562,0.8263406635115638,13.117475577754547
310,Kyle Lowry,TOR,33.65,39.84922810561246,1.2120357593006121,1.1146921806087766,0.9773131641807203,59.430490106458606
311,Kyle O'Quinn,PHI,5.68,8.289028213166144,1.494911804613297,1.3748492868426176,0.4722107958067885,8.64848339187043
312,Kyrie Irving,BKN,37.89,46.46137931034483,1.254221447747134,1.1534897628451872,0.9859201976973968,82.56869740167835
